10	3	1
20	1	3
30	1	2
40	1	2
50	2	2
60	2	3
70	3	3
80	3	3
90	4	4
100	5	4
110	6	4
120	7	4
130	8	5
140	9	6
150	10	7
160	13	7
170	10	7
180	12	6
190	13	6
200	13	8
210	18	7
220	18	9
230	21	8
240	22	9
250	22	11
260	25	11
270	26	13
280	28	13
290	30	14
300	32	14
310	36	14
320	36	16
330	38	18
340	43	18
350	48	19
360	47	19
370	51	21
380	54	22
390	57	24
400	57	25
410	61	25
420	65	24
430	68	28
440	70	28
450	73	28
460	79	27
470	77	28
480	80	30
490	81	31
500	84	30
510	90	30
520	92	33
530	103	36
540	108	37
550	111	38
560	119	40
570	119	40
580	123	40
590	129	39
600	120	41
610	126	39
620	131	42
630	132	45
640	139	47
650	144	51
660	158	53
670	162	54
680	169	57
690	173	58
700	167	55
710	168	56
720	174	57
730	181	57
740	181	60
750	188	62
760	194	62
770	202	64
780	203	62
790	207	68
800	214	65
810	218	67
820	226	67
830	234	69
840	236	69
850	238	73
860	247	71
870	250	76
880	258	74
890	268	76
900	270	77
